Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2020-11-25 10:08:00-05:00,546.6500244140625,547.9600219726562,546.5701293945312,547.760009765625,123794,0,0,TSLA
2020-11-25 10:09:00-05:00,547.7302856445312,548.9000244140625,547.6699829101562,548.389892578125,123771,0,0,TSLA
2020-11-25 10:10:00-05:00,548.389892578125,548.389892578125,546.3101196289062,546.815185546875,101031,0,0,TSLA
2020-11-25 10:11:00-05:00,547.0499267578125,547.5999755859375,546.3001098632812,546.4000244140625,77052,0,0,TSLA
2020-11-25 10:12:00-05:00,546.302978515625,547.0,545.6500244140625,546.1400146484375,122908,0,0,TSLA
2020-11-25 10:13:00-05:00,546.0800170898438,547.5900268554688,545.760009765625,547.2109985351562,109660,0,0,TSLA
2020-11-25 10:14:00-05:00,547.1224975585938,547.75,546.780029296875,547.510009765625,92525,0,0,TSLA
2020-11-25 10:15:00-05:00,547.6058959960938,547.6058959960938,546.3599853515625,546.9199829101562,77756,0,0,TSLA
2020-11-25 10:16:00-05:00,546.9099731445312,546.9199829101562,545.5800170898438,546.5800170898438,104366,0,0,TSLA
2020-11-25 10:17:00-05:00,546.598876953125,548.7899169921875,546.598876953125,548.7899169921875,154986,0,0,TSLA
2020-11-25 10:18:00-05:00,548.5999755859375,549.5999145507812,547.72998046875,547.8764038085938,162301,0,0,TSLA
2020-11-25 10:19:00-05:00,547.919189453125,549.3499755859375,547.8099975585938,549.15478515625,82306,0,0,TSLA
2020-11-25 10:20:00-05:00,549.25,549.5698852539062,547.9000854492188,549.0499877929688,98455,0,0,TSLA
2020-11-25 10:21:00-05:00,549.2899780273438,550.892578125,548.739990234375,550.5490112304688,175470,0,0,TSLA
2020-11-25 10:22:00-05:00,550.5966186523438,551.22998046875,550.1500244140625,551.1754150390625,149429,0,0,TSLA
2020-11-25 10:23:00-05:00,551.1784057617188,552.1400146484375,551.010009765625,551.594970703125,157685,0,0,TSLA
2020-11-25 10:24:00-05:00,551.63720703125,552.0,550.9299926757812,551.6300048828125,126734,0,0,TSLA
2020-11-25 10:25:00-05:00,551.6950073242188,552.9000244140625,551.6950073242188,552.6900024414062,143207,0,0,TSLA
2020-11-25 10:26:00-05:00,552.7498779296875,553.9500122070312,552.5700073242188,553.864990234375,195777,0,0,TSLA
2020-11-25 10:27:00-05:00,553.9500122070312,554.1500244140625,552.631591796875,553.0850219726562,160802,0,0,TSLA
2020-11-25 10:28:00-05:00,553.0900268554688,553.2999877929688,552.160888671875,552.160888671875,96203,0,0,TSLA
2020-11-25 10:29:00-05:00,552.273193359375,553.5,551.7000122070312,553.3900146484375,124943,0,0,TSLA
2020-11-25 10:30:00-05:00,553.47998046875,553.6500244140625,552.5,552.8060913085938,79917,0,0,TSLA
2020-11-25 10:31:00-05:00,552.6799926757812,552.890625,552.2000122070312,552.6799926757812,51002,0,0,TSLA
2020-11-25 10:32:00-05:00,552.5700073242188,553.0900268554688,551.77001953125,552.9400024414062,106974,0,0,TSLA
2020-11-25 10:33:00-05:00,552.97998046875,553.27001953125,551.5,552.1500244140625,87912,0,0,TSLA
2020-11-25 10:34:00-05:00,552.030029296875,552.6414184570312,551.4600219726562,552.5700073242188,60413,0,0,TSLA
2020-11-25 10:35:00-05:00,552.4992065429688,552.5499877929688,551.7999877929688,552.10498046875,62966,0,0,TSLA
2020-11-25 10:36:00-05:00,552.0150146484375,552.0250244140625,550.6400146484375,550.7869873046875,74558,0,0,TSLA
2020-11-25 10:37:00-05:00,550.6599731445312,550.9600219726562,550.2899780273438,550.7999877929688,72875,0,0,TSLA
2020-11-25 10:38:00-05:00,550.7100219726562,551.5,550.2899780273438,550.2899780273438,77229,0,0,TSLA
2020-11-25 10:39:00-05:00,550.3489990234375,550.889892578125,550.2000122070312,550.2000122070312,66713,0,0,TSLA
